date_time,water_level,sigma,o,f,r,l,quality 
2017-06-27 11:54,603.031,0.000,0,0,0,0,v
2017-06-27 12:00,603.025,0.000,0,0,0,0,v
2017-06-27 12:06,603.048,0.003,0,0,0,0,v
2017-06-27 12:12,603.054,0.000,0,0,0,0,v
2017-06-27 12:18,603.028,0.003,0,0,0,0,v
2017-06-27 12:24,603.009,0.000,0,0,0,0,v
2017-06-27 12:30,603.012,0.000,0,0,0,0,v
2017-06-27 12:36,603.015,0.003,0,0,0,0,v
2017-06-27 12:42,603.025,0.000,0,0,0,0,v
2017-06-27 12:48,603.018,0.003,0,0,0,0,v
2017-06-27 12:54,603.041,0.046,0,0,0,0,v
2017-06-27 13:00,603.005,0.020,0,0,0,0,v
2017-06-27 13:06,602.907,0.020,0,0,0,0,v
2017-06-27 13:12,602.910,0.016,0,0,0,0,v
2017-06-27 13:18,602.963,0.010,0,0,0,0,v
2017-06-27 13:24,602.920,0.010,0,0,0,0,v
2017-06-27 13:30,602.874,0.010,0,0,0,0,v
2017-06-27 13:36,602.838,0.013,0,0,0,0,v
2017-06-27 13:42,602.861,0.010,0,0,0,0,v
2017-06-27 13:48,602.858,0.003,0,0,0,0,v
2017-06-27 13:54,602.844,0.013,0,0,0,0,v
2017-06-27 14:00,602.874,0.010,0,0,0,0,v
2017-06-27 14:06,602.858,0.007,0,0,0,0,v
2017-06-27 14:12,602.818,0.007,0,0,0,0,v
2017-06-27 14:18,602.802,0.010,0,0,0,0,v
2017-06-27 14:24,602.799,0.016,0,0,0,0,v
2017-06-27 14:30,602.802,0.010,0,0,0,0,v
2017-06-27 14:36,602.776,0.007,0,0,0,0,v
2017-06-27 14:42,602.740,0.013,0,0,0,0,v
2017-06-27 14:48,602.733,0.007,0,0,0,0,v
2017-06-27 14:54,602.710,0.007,0,0,0,0,v
2017-06-27 15:00,602.703,0.010,0,0,0,0,v
2017-06-27 15:06,602.713,0.007,0,0,0,0,v
2017-06-27 15:12,602.697,0.007,0,0,0,0,v
2017-06-27 15:18,602.674,0.007,0,0,0,0,v
2017-06-27 15:24,602.707,0.007,0,0,0,0,v
2017-06-27 15:30,602.700,0.010,0,0,0,0,v
2017-06-27 15:36,602.684,0.003,0,0,0,0,v
2017-06-27 15:42,602.713,0.003,0,0,0,0,v
2017-06-27 15:48,602.730,0.003,0,0,0,0,v
2017-06-27 15:54,602.713,0.013,0,0,0,0,v
2017-06-27 16:00,602.717,0.003,0,0,0,0,v
2017-06-27 16:06,602.749,0.007,0,0,0,0,v
2017-06-27 16:12,602.785,0.000,0,0,0,0,v
2017-06-27 16:18,602.795,0.007,0,0,0,0,v
2017-06-27 16:24,602.799,0.003,0,0,0,0,v
2017-06-27 16:30,602.805,0.000,0,0,0,0,v
2017-06-27 16:36,602.805,0.000,0,0,0,0,v
2017-06-27 16:42,602.841,0.003,0,0,0,0,v
2017-06-27 16:48,602.867,0.007,0,0,0,0,v
2017-06-27 16:54,602.861,0.003,0,0,0,0,v
2017-06-27 17:00,602.851,0.003,0,0,0,0,v
2017-06-27 17:06,602.831,0.007,0,0,0,0,v
2017-06-27 17:12,602.841,0.000,0,0,0,0,v
2017-06-27 17:18,602.871,0.003,0,0,0,0,v
2017-06-27 17:24,602.887,0.000,0,0,0,0,v
2017-06-27 17:30,602.867,0.000,0,0,0,0,v
2017-06-27 17:36,602.874,0.000,0,0,0,0,v
2017-06-27 17:42,602.874,0.003,0,0,0,0,v
2017-06-27 17:48,602.890,0.007,0,0,0,0,v
2017-06-27 17:54,602.910,0.000,0,0,0,0,v
2017-06-27 18:00,602.910,0.000,0,0,0,0,v
2017-06-27 18:06,602.920,0.010,0,0,0,0,v
2017-06-27 18:12,602.949,0.003,0,0,0,0,v
2017-06-27 18:18,602.956,0.003,0,0,0,0,v
